promt,Class
"Неисправность мусоропровода","Благоустройство, ЖКХ и уборка дорог"
"На детской площадке сломаны качели","Благоустройство, ЖКХ и уборка дорог"
"Во дворе не убран снег","Благоустройство, ЖКХ и уборка дорог"
"Кто отвечает за ремонт дороги на моей улице?","Благоустройство, ЖКХ и уборка дорог"
"На тротуаре образовалась большая лужа","Благоустройство, ЖКХ и уборка дорог"
"Не работает освещение во дворе","Благоустройство, ЖКХ и уборка дорог"
"Деревья вдоль дороги не обрезаны","Благоустройство, ЖКХ и уборка дорог"
"Большая яма на дороге возле дома","Благоустройство, ЖКХ и уборка дорог"
"Когда проведут ремонт нашей крыши?","Благоустройство, ЖКХ и уборка дорог"
"Течёт труба в подъезде, кому сообщить?","Благоустройство, ЖКХ и уборка дорог"
"Во дворе плохо убирают мусор","Благоустройство, ЖКХ и уборка дорог"
"Куда сообщить о грязной остановке?","Благоустройство, ЖКХ и уборка дорог"
"Не работает лифт, куда обращаться?","Благоустройство, ЖКХ и уборка дорог"
"Во дворе слишком мало урн, как установить дополнительные?","Благоустройство, ЖКХ и уборка дорог"
"Дорожная разметка практически стёрта, кто отвечает за это?","Благоустройство, ЖКХ и уборка дорог"
"Тротуар во дворе в ужасном состоянии, как сделать запрос на ремонт?","Благоустройство, ЖКХ и уборка дорог"
"Сломан светофор на перекрёстке, куда звонить?","Благоустройство, ЖКХ и уборка дорог"
"Кто занимается вывозом строительного мусора?","Благоустройство, ЖКХ и уборка дорог"
"Сосульки свисают с крыши, как это предотвратить?","Благоустройство, ЖКХ и уборка дорог"
"После дождя на улице образуются огромные лужи, кому об этом сообщить?","Благоустройство, ЖКХ и уборка дорог"
"Во дворе брошен автомобиль, как его убрать?","Благоустройство, ЖКХ и уборка дорог"
"На детской площадке валяются бутылки, кто убирает?","Благоустройство, ЖКХ и уборка дорог"
"Где узнать, когда будет отремонтирован асфальт у дома?","Благоустройство, ЖКХ и уборка дорог"
"Дворник перестал убирать территорию, кому жаловаться?","Благоустройство, ЖКХ и уборка дорог"
"Лужа возле подъезда замёрзла, как её можно убрать?","Благоустройство, ЖКХ и уборка дорог"
"Как запросить установку скамейки во дворе?","Благоустройство, ЖКХ и уборка дорог"
"Сильно шумит мусоропровод, это можно исправить?","Благоустройство, ЖКХ и уборка дорог"
"На детской площадке сломано ограждение, куда писать?","Благоустройство, ЖКХ и уборка дорог"
"Кто отвечает за опиловку деревьев возле дома?","Благоустройство, ЖКХ и уборка дорог"
"Тротуары во дворе скользкие, как организовать посыпку песком?","Благоустройство, ЖКХ и уборка дорог"
"Не вывезли мусор уже несколько дней, куда пожаловаться?","Благоустройство, ЖКХ и уборка дорог"
"Как установить шлагбаум во дворе?","Благоустройство, ЖКХ и уборка дорог"
"Дорогу возле дома перекопали, кто завершит ремонт?","Благоустройство, ЖКХ и уборка дорог"
"Фонарь на улице мигает, как сообщить об этом?","Благоустройство, ЖКХ и уборка дорог"
"На стене дома появилась трещина, куда обратиться?","Благоустройство, ЖКХ и уборка дорог"
"Кто отвечает за график вывоза мусора?","Благоустройство, ЖКХ и уборка дорог"
"Во дворе не покошена трава, как подать заявку на уборку?","Благоустройство, ЖКХ и уборка дорог"
"Во дворе не покрашена лавочка","Благоустройство, ЖКХ и уборка дорог"
"Торчит дерево, мешает проезду","Благоустройство, ЖКХ и уборка дорог"
"В подъезде воняет из канализации","Благоустройство, ЖКХ и уборка дорог"
"Около дома завалился забор, как его починить?","Благоустройство, ЖКХ и уборка дорог"
"Лестница на входе в подъезд разрушена, кому сообщить?","Благоустройство, ЖКХ и уборка дорог"
"На тротуаре лежит упавшее дерево, как его убрать?","Благоустройство, ЖКХ и уборка дорог"
"Водосток на крыше забит, течёт вода прямо на тротуар","Благоустройство, ЖКХ и уборка дорог"
"На пешеходной дорожке не убраны листья, скользко","Благоустройство, ЖКХ и уборка дорог"
"В подъезде слишком грязно, уборка давно не проводилась","Благоустройство, ЖКХ и уборка дорог"
"Кто может заделать щели в стенах подъезда?","Благоустройство, ЖКХ и уборка дорог"
"На дороге не видно разметки, особенно ночью","Благоустройство, ЖКХ и уборка дорог"
"В подвальном помещении стоит вода, куда обратиться?","Благоустройство, ЖКХ и уборка дорог"
"Рядом с домом лежат строительные отходы, кто их вывезет?","Благоустройство, ЖКХ и уборка дорог"
"На крыше дома висят оборванные провода","Благоустройство, ЖКХ и уборка дорог"
"Не работает видеокамера в лифте, кому сообщить?","Благоустройство, ЖКХ и уборка дорог"
"Во дворе разбит асфальт возле входа в детский сад","Благоустройство, ЖКХ и уборка дорог"
"На парковке не обозначены места для инвалидов","Благоустройство, ЖКХ и уборка дорог"
"На улице валяется большое количество стекла","Благоустройство, ЖКХ и уборка дорог"
"В подвале сломан входной замок, как это исправить?","Благоустройство, ЖКХ и уборка дорог"
"На углу улицы снесли урну, мусор разлетается","Благоустройство, ЖКХ и уборка дорог"
"На остановке нет скамейки, можно ли её установить?","Благоустройство, ЖКХ и уборка дорог"
"В соседнем дворе постоянно валяются пакеты с мусором","Благоустройство, ЖКХ и уборка дорог"
"Кто отвечает за ремонт ступенек у подъезда?","Благоустройство, ЖКХ и уборка дорог"
"Возле дороги давно не косили кусты, они закрывают видимость","Благоустройство, ЖКХ и уборка дорог"
"На светофоре не работает кнопка вызова для пешеходов","Благоустройство, ЖКХ и уборка дорог"
"Вдоль дороги накренились фонарные столбы","Благоустройство, ЖКХ и уборка дорог"
"На детской площадке обломаны деревянные доски на скамейке","Благоустройство, ЖКХ и уборка дорог"
"Кто может убрать опавшие ветки возле дома?","Благоустройство, ЖКХ и уборка дорог"
"В подъезде отсутствует коврик на входе, куда обратиться?","Благоустройство, ЖКХ и уборка дорог"
"Открытый люк во дворе, угроза для детей","Благоустройство, ЖКХ и уборка дорог"
"Накопилась грязь возле контейнерной площадки","Благоустройство, ЖКХ и уборка дорог"
"В подвале дома появился запах гари, куда сообщить?","Благоустройство, ЖКХ и уборка дорог"
"На газоне у подъезда вырвано несколько кустов","Благоустройство, ЖКХ и уборка дорог"
"Во дворе не хватает освещения, куда обратиться?","Благоустройство, ЖКХ и уборка дорог"
"На крыше дома растёт мох, могут появиться протечки","Благоустройство, ЖКХ и уборка дорог"
"Плитка на тротуаре отходит, кто занимается её ремонтом?","Благоустройство, ЖКХ и уборка дорог"
"Ворота на детскую площадку повреждены, куда обратиться?","Благоустройство, ЖКХ и уборка дорог"
"На автостоянке образовались глубокие выбоины","Благоустройство, ЖКХ и уборка дорог"
"Дворник выбрасывает мусор прямо на газон","Благоустройство, ЖКХ и уборка дорог"
"Люк на тротуаре закрыт неправильно, он шатается","Благоустройство, ЖКХ и уборка дорог"
"Из вентиляционной шахты дома идёт неприятный запах","Благоустройство, ЖКХ и уборка дорог"
"На пешеходном переходе не работают предупреждающие сигналы","Благоустройство, ЖКХ и уборка дорог"
"Вокруг дома перегорели лампочки у уличных фонарей","Благоустройство, ЖКХ и уборка дорог"
"На углу улицы обвалилась лестница к подземному переходу","Благоустройство, ЖКХ и уборка дорог"
"В лифте постоянно мигает свет, куда пожаловаться?","Благоустройство, ЖКХ и уборка дорог"
"Во дворе давно не убирали снег, образовался лёд","Благоустройство, ЖКХ и уборка дорог"
"Трещины в асфальте возле детской площадки угрожают безопасности","Благоустройство, ЖКХ и уборка дорог"
